rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
2070,637,26.338640477868285,-26.338640477868285,-26.338640477868285,True,1.5305379326377064,0.1968340041488409,0.4638466637581587,0.10789574444293976,0.0,0.48679577057715495,8.366150194374768,5.774034723369499,2.5703038478622564,20.0,15.0,11.0,4.5,428.26173212379217,2784.374825656414,2.9819660633802414
2071,2603,26.33892865195279,-26.33892865195279,-26.33892865195279,True,1.7014927849903994,0.35352668025738987,0.8013282631555855,0.09585162304606908,0.0,0.5414121434457511,8.92335416509861,2.002910266769316,1.8866247055498329,20.0,15.0,15.0,6.0,375.55802456368906,2041.17168752783,17.001885557072832
2072,1829,26.347739324485477,-26.347739324485477,-26.347739324485477,True,1.8057564754712647,0.27452915184502746,0.4430804847761962,0.19853579454860118,4.0,0.49972350645383307,2.311863029541895,1.445915967795921,1.7712406989287683,11.0,8.0,10.0,8.0,516.6612664450564,1839.0597453713149,23.87409216214147
2073,2272,26.375064557612212,-26.375064557612212,-26.375064557612212,True,1.0209328874014318,0.15434987351298332,0.8404591022059322,0.08279452161863446,0.0,0.294378773378022,0.05723373996025494,0.05163550502771308,2.2548000101704853,16.0,8.0,11.0,5.5,395.9037255961448,1235.8389273285866,7.649506740272045
2074,168,26.403555566949965,-26.403555566949965,-26.403555566949965,True,1.5822840103916107,0.16260609918386254,0.37452869735342853,0.27520652566105125,2.0,0.20996753319315611,6.887400758464793,4.582086550793226,2.4987227499637283,20.0,13.0,14.0,8.5,418.1586411976351,1185.2256722834402,21.555003759870793
2075,1821,26.416049019725698,-26.416049019725698,-26.416049019725698,True,1.2105123029651428,0.17048004828659508,0.6081540136164864,0.22677765498590843,2.0,0.0508738230370539,0.7294601040098776,0.7020775622581024,1.0403338743222725,13.0,6.5,14.0,7.0,381.3704567783337,1667.8534711518412,25.232147658131446
2076,2769,26.42386826594841,-26.42386826594841,-26.42386826594841,True,1.3146158356392759,0.307281681476601,0.5868043027780472,0.26225540292658356,3.0,0.36115568869183134,4.626113857451405,1.37558890546768,3.2100179451442274,22.0,12.0,16.0,12.0,425.5177493092862,1739.758606534327,4.66850048771944
2077,855,26.42568830347358,-26.42568830347358,-26.42568830347358,True,1.6957468138488994,0.20815153761621347,0.5534792980715167,0.2468618372455239,0.0,0.5822681897293778,8.94212460652877,5.875041200185801,1.2800504617594384,14.0,10.0,18.0,12.0,466.89021065831184,2403.529072602709,14.807210769277482
2078,1442,26.43543631372239,-26.43543631372239,-26.43543631372239,True,1.510299783926106,0.3081439034517153,0.5194610907538032,0.12248589800670742,2.0,0.25611729826174184,3.6207324237662037,2.893806789911041,1.7871183682970437,14.0,8.5,15.0,7.0,621.198070208966,1582.4765767902136,27.653053070601633
2079,639,26.437347795860607,-26.437347795860607,-26.437347795860607,True,1.8229549806140144,0.20810027003978307,0.31497288495560904,0.26512482589176856,2.0,0.205908326343491,5.979554829123979,1.0519154030235178,2.550627243743626,11.0,4.5,19.0,12.0,595.7237005699426,1114.9975825101137,17.197961569693966
2080,333,26.445992543469547,-26.445992543469547,-26.445992543469547,True,0.9928601304311305,0.3313312678719357,0.5477609642694086,0.2727381926167527,0.0,0.19770546009866297,4.917382638859993,2.8180375259069432,3.1474923422526473,21.0,12.0,14.0,7.0,568.2879374288251,1636.0964570901942,5.89161030162391
2081,2551,26.44618165268315,-26.44618165268315,-26.44618165268315,True,1.7578409645064375,0.267718900009891,0.784578879782656,0.2734966855160402,2.0,0.2038570949990839,5.983476379164549,1.1030241543549444,1.8801348392980615,18.0,12.0,18.0,12.0,367.6791579039493,1964.2250490457573,10.002161048646698
2082,1317,26.44937197989602,-26.44937197989602,-26.44937197989602,True,1.4212050257616518,0.3983732970617647,0.6482153993099928,0.19320660146038765,1.0,0.296970121847037,7.216583683668624,0.05947895722212593,2.368026618459513,17.0,12.0,13.0,8.0,469.842803145057,2291.7895130833335,37.43618225037356
2083,1027,26.474308627413496,-26.474308627413496,-26.474308627413496,True,1.676763568334392,0.22647378060277473,0.37690578311017864,0.2041844944679618,1.0,0.26888800103786625,4.344422807421488,2.2402340912239627,3.282506473176089,24.0,12.0,17.0,12.0,399.6540766750418,2680.0334136656606,17.302464642351232
2084,1862,26.498597231124947,-26.498597231124947,-26.498597231124947,True,1.6152018635711802,0.26417309232976294,0.5540629495580229,0.22335768200189055,4.0,0.27829176620487645,2.3421904494753214,1.8752071304657836,2.8176768411854267,20.0,15.0,15.0,8.0,515.7447132439174,1025.8224238719638,25.0664672999498
2085,796,26.498926224514733,-26.498926224514733,-26.498926224514733,True,1.503309268782944,0.3058496597327491,0.375772187640297,0.27199148661796885,5.0,0.42944359965649026,1.3532522107612959,0.8984529744608327,2.343799127648331,15.0,10.0,22.0,13.0,354.4646291818625,1490.31633320085,13.915685770236292
2086,1529,26.508642253326684,-26.508642253326684,-26.508642253326684,True,1.688110661139495,0.323629890117854,0.8581953765099999,0.2475016246785147,2.0,0.2921935759796645,4.5914347109714475,2.0958161364627923,1.91506774973414,18.0,10.0,19.0,8.0,396.2815573739546,1596.3392406702042,7.426570616662502
2087,2280,26.529566976062988,-26.529566976062988,-26.529566976062988,True,1.4430873120489816,0.27532037321930225,0.3312509211352122,0.20594627958269057,1.0,0.44712063041893874,8.733165722941349,6.955765744617695,2.874844772403363,20.0,15.0,20.0,10.0,469.5399307110019,2955.97900103114,14.711383755235401
2088,616,26.53698485401637,-26.53698485401637,-26.53698485401637,True,1.4299034265630963,0.18665042672391569,0.6596716384015292,0.19706343788697941,3.0,0.21236888272866078,3.919238487700568,2.528269302855442,2.1542738157205057,20.0,15.0,13.0,8.0,564.8720291765285,1811.6385638713837,7.013830762282966
2089,2755,26.545215907444724,-26.545215907444724,-26.545215907444724,True,1.7378852764860324,0.3425348135308372,0.6345454485949518,0.1226286854783911,0.0,0.34119060937405116,8.717566547860155,4.140593855781714,1.2101034431355004,20.0,15.0,13.0,8.0,318.2659556157887,2511.9962450116873,3.2432666282520124
2090,2194,26.54821193027732,-26.54821193027732,-26.54821193027732,True,1.5810238965347854,0.26527061073130986,0.4665223141654721,0.12068232050102962,1.0,0.462529736433218,7.919637731829743,6.521438369079619,3.1652149438449158,12.0,8.0,16.0,8.0,398.1417432106676,2387.6338433474302,31.674962929162696
2091,1947,26.55075412047975,-26.55075412047975,-26.55075412047975,True,1.377082139014765,0.3565249680345481,0.4892352964497309,0.2709360417392265,2.0,0.09301133139382539,2.57230828682383,1.8614317050879734,1.671161688167965,15.0,10.0,17.0,8.0,608.9224666073798,2915.712190756506,20.18682129214143
