rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1872,2377,4.175937466942151,-4.175937466942151,-4.175937466942151,True,1.3824622963467144,0.30285595729855785,0.7183509029666516,0.16031960106335347,2.0,0.5965579675599932,4.588096478440818,3.3594211004674435,22.394477179157,11.754248734861246,428.61287475362974,1793.4490524413582,0.533381892217367,0.964278571010052,6
1873,1222,4.182833609243476,-4.182833609243476,-4.182833609243476,True,1.3529123867583213,0.22794963484445221,0.4986661894028179,0.27854656796469146,0.0,0.5219051053718622,15.554463810248668,1.8264167959233095,14.754098452759859,8.308900479542219,365.1311420078683,1968.2554150534154,0.9879709634004488,0.6708437162232759,6
1874,144,4.196260908145769,-4.196260908145769,-4.196260908145769,True,1.7877552387876667,0.15204089522361755,0.7012988768431048,0.25141536379233,0.0,0.16505189576339285,15.715706171660358,2.3611515080556273,16.987214568071067,11.041980396326224,456.35616848755956,2485.1651790569517,0.5792658980935812,0.8726690363061805,6
1875,2339,3.2301259874088397,-3.2301259874088397,-4.19699221036927,True,1.5643893020129183,0.28191536956766583,0.735114778804482,0.13170631131442623,3.0,0.28301736683647305,3.930886117965577,2.524589634061609,19.071012953728108,13.478128973914247,209.28811492157257,1847.8865206438525,0.9144448897826509,0.8216617219799707,8
1876,2450,4.192906530332532,-4.192906530332532,-4.203021479713502,True,1.7228054237145105,0.20723092284053563,0.7884885621581587,0.2658122762851417,0.0,0.4942144713902529,2.047131708074641,2.8020674101769494,21.903693071040635,12.755382176121296,321.7586669496509,1344.073202468585,0.6017254333310647,0.905644862203691,8
1877,384,4.212454484436103,-4.212454484436103,-4.212454484436103,True,1.7910218026809395,0.3585057479346331,0.8787994038916487,0.08997159715442603,2.0,0.4771993816498598,4.351997034762236,3.632035525639382,18.01089591037088,12.480796731746963,480.4631703356909,2332.142659268498,0.908796530850199,0.8086976114053444,6
1878,1611,4.228368693862304,-4.228368693862304,-4.228368693862304,True,1.6331480587805272,0.22430336639909648,0.7637495016157438,0.1158390406483903,1.0,0.7057756967173242,0.5064820278269462,3.378378378378378,18.995702516312253,11.437027015202016,455.82579013344497,1356.3773900825129,0.9492715202002571,0.7852020570303222,6
1879,1084,4.231978538510801,-4.231978538510801,-4.231978538510801,True,1.3198827426153046,0.20727825018378415,0.7843051861652561,0.2588990440395555,5.0,0.3369097414346066,2.3032380242877384,2.7298457750115035,15.821617274085282,7.626376551566185,404.6273432878198,1772.094201296568,0.7774789289001725,0.5510608182643939,6
1880,2589,4.248308420198979,-4.248308420198979,-4.293374003133581,True,1.282653873758872,0.3133208822638453,0.6857047101441118,0.2352779433131218,0.0,0.46212848903045356,10.569108573947734,1.864504874391278,18.616919941576388,13.623058167489665,313.67514257154716,2452.717357346288,0.7992017841902507,0.8492285036481917,8
1881,558,4.302280311577157,-4.302280311577157,-4.307142687624374,True,1.7387541049886495,0.38632774191481123,0.6255638591992896,0.26838731436423496,3.0,0.4487357932291877,1.1252373629479395,1.845694054403637,17.232335586041884,9.05143798506085,467.2602999024093,2379.2783924326905,0.903218964902663,0.8244288107671139,6
